Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,Fresh Meadows,2
Asthma and the Environment,Southwest Queens,4.4
Asthma and the Environment,Jamaica,5.6
Asthma and the Environment,Southeast Queens,NA
Asthma and the Environment,Rockaways,4.2
Asthma and the Environment,Port Richmond,1.8
Asthma and the Environment,Stapleton - St. George,1.8
Asthma and the Environment,Willowbrook,6.9
Asthma and the Environment,South Beach - Tottenville,6.9
Asthma and the Environment,Kingsbridge - Riverdale,6.7
Asthma and the Environment,Northeast Bronx,5.7
Asthma and the Environment,Fordham - Bronx Pk,8.5
Asthma and the Environment,Pelham - Throgs Neck,6.2
Asthma and the Environment,Crotona -Tremont,6.5
Asthma and the Environment,High Bridge - Morrisania,6.5
Asthma and the Environment,Hunts Point - Mott Haven,6.5
Asthma and the Environment,Greenpoint,7.5
Asthma and the Environment,Downtown - Heights - Slope,6.7
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,6
Asthma and the Environment,East New York,5.8
Asthma and the Environment,Sunset Park,2.7
Asthma and the Environment,Borough Park,0.8
Asthma and the Environment,East Flatbush - Flatbush,1.4
Asthma and the Environment,Canarsie - Flatlands,2.3
Asthma and the Environment,Bensonhurst - Bay Ridge,3.5
Asthma and the Environment,Coney Island - Sheepshead Bay,3.5
Asthma and the Environment,Williamsburg - Bushwick,7.3
Asthma and the Environment,Washington Heights,2.6
Asthma and the Environment,Central Harlem - Morningside Heights,4.5
Asthma and the Environment,East Harlem,NA
Asthma and the Environment,Upper West Side,1.8
Asthma and the Environment,Upper East Side,2.5
Asthma and the Environment,Chelsea - Clinton,1.3
Asthma and the Environment,Gramercy Park - Murray Hill,2.5
Asthma and the Environment,Greenwich Village - SoHo,1.3
Asthma and the Environment,Union Square - Lower East Side,3.3
Asthma and the Environment,Lower Manhattan,3.3
Asthma and the Environment,Long Island City - Astoria,2.9
Asthma and the Environment,West Queens,1.5
Asthma and the Environment,Flushing - Clearview,5.1
Asthma and the Environment,Bayside - Little Neck,4.8
Asthma and the Environment,Ridgewood - Forest Hills,3.3
Asthma and the Environment,Fresh Meadows,4.8
Asthma and the Environment,Southwest Queens,8.2
Asthma and the Environment,Jamaica,3.5
Asthma and the Environment,Southeast Queens,2.5
Asthma and the Environment,Rockaways,11.5
Asthma and the Environment,Port Richmond,5.7
Asthma and the Environment,Stapleton - St. George,5.7
Asthma and the Environment,Willowbrook,2.8
Asthma and the Environment,South Beach - Tottenville,2.8
Asthma and the Environment,Kingsbridge - Riverdale,6.1
Asthma and the Environment,Northeast Bronx,5.8
Asthma and the Environment,Fordham - Bronx Pk,9.9
Asthma and the Environment,Pelham - Throgs Neck,2.1
Asthma and the Environment,Crotona -Tremont,6.8
Asthma and the Environment,High Bridge - Morrisania,6.8
Asthma and the Environment,Hunts Point - Mott Haven,6.8
Asthma and the Environment,Greenpoint,0.5
Asthma and the Environment,Downtown - Heights - Slope,3.3
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,3.8
Asthma and the Environment,East New York,7.7
Asthma and the Environment,Sunset Park,NA
Asthma and the Environment,Borough Park,1.8
Asthma and the Environment,East Flatbush - Flatbush,NA
Asthma and the Environment,Canarsie - Flatlands,3.3
Asthma and the Environment,Bensonhurst - Bay Ridge,2.7
Asthma and the Environment,Coney Island - Sheepshead Bay,NA
Asthma and the Environment,Williamsburg - Bushwick,3.9
Asthma and the Environment,Washington Heights,4.1
Asthma and the Environment,Central Harlem - Morningside Heights,2.8
Asthma and the Environment,East Harlem,15.3
Asthma and the Environment,Upper West Side,8.3
Asthma and the Environment,Upper East Side,1.2
Asthma and the Environment,Chelsea - Clinton,NA
Asthma and the Environment,Gramercy Park - Murray Hill,1.2
Asthma and the Environment,Greenwich Village - SoHo,NA
Asthma and the Environment,Union Square - Lower East Side,4.6
Asthma and the Environment,Lower Manhattan,4.6
Asthma and the Environment,Long Island City - Astoria,0.8
Asthma and the Environment,West Queens,2.4
Asthma and the Environment,Flushing - Clearview,2.9
Asthma and the Environment,Bayside - Little Neck,2.4
Asthma and the Environment,Ridgewood - Forest Hills,4.2
Asthma and the Environment,Fresh Meadows,2.4
Asthma and the Environment,Southwest Queens,0.9
Asthma and the Environment,Jamaica,3.7
Asthma and the Environment,Southeast Queens,2.1
Asthma and the Environment,Rockaways,6.6
Asthma and the Environment,Port Richmond,6
Asthma and the Environment,Stapleton - St. George,6
Asthma and the Environment,Willowbrook,3.9
Asthma and the Environment,South Beach - Tottenville,3.9
Asthma and the Environment,Kingsbridge - Riverdale,NA
Asthma and the Environment,Northeast Bronx,4.9
Asthma and the Environment,Fordham - Bronx Pk,5.5
Asthma and the Environment,Pelham - Throgs Neck,10
Asthma and the Environment,Crotona -Tremont,7.5
Asthma and the Environment,High Bridge - Morrisania,7.5
Asthma and the Environment,Hunts Point - Mott Haven,7.5
Asthma and the Environment,Greenpoint,1.9
Asthma and the Environment,Downtown - Heights - Slope,1.9
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,10.6
Asthma and the Environment,East New York,9.3
Asthma and the Environment,Sunset Park,NA
Asthma and the Environment,Borough Park,3.2
Asthma and the Environment,East Flatbush - Flatbush,1.3
Asthma and the Environment,Canarsie - Flatlands,NA
Asthma and the Environment,Bensonhurst - Bay Ridge,NA
Asthma and the Environment,Coney Island - Sheepshead Bay,4.1
Asthma and the Environment,Williamsburg - Bushwick,4.6
Asthma and the Environment,Washington Heights,NA
Asthma and the Environment,Central Harlem - Morningside Heights,1.8
Asthma and the Environment,East Harlem,15.7
Asthma and the Environment,Upper West Side,NA
Asthma and the Environment,Upper East Side,1.8
Asthma and the Environment,Chelsea - Clinton,2.5
Asthma and the Environment,Gramercy Park - Murray Hill,1.8
Asthma and the Environment,Greenwich Village - SoHo,2.5
Asthma and the Environment,Union Square - Lower East Side,2.1
Asthma and the Environment,Lower Manhattan,2.1
Asthma and the Environment,Long Island City - Astoria,3.7
Asthma and the Environment,West Queens,6
Asthma and the Environment,Flushing - Clearview,0.4
Asthma and the Environment,Bayside - Little Neck,3.3
Asthma and the Environment,Ridgewood - Forest Hills,6.2
Asthma and the Environment,Fresh Meadows,3.3
Asthma and the Environment,Southwest Queens,3.9
Asthma and the Environment,Jamaica,2.6
Asthma and the Environment,Southeast Queens,NA
Asthma and the Environment,Rockaways,NA
Asthma and the Environment,Port Richmond,3.5
Asthma and the Environment,Stapleton - St. George,3.5
Asthma and the Environment,Willowbrook,2.6
Asthma and the Environment,South Beach - Tottenville,2.6
Asthma and the Environment,Kingsbridge - Riverdale,NA
Asthma and the Environment,Northeast Bronx,6.3
Asthma and the Environment,Fordham - Bronx Pk,4.4
Asthma and the Environment,Pelham - Throgs Neck,6.7
Asthma and the Environment,Crotona -Tremont,10.7
Asthma and the Environment,High Bridge - Morrisania,10.7
Asthma and the Environment,Hunts Point - Mott Haven,10.7
Asthma and the Environment,Greenpoint,4.2
Asthma and the Environment,Downtown - Heights - Slope,3.8
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,2.6
Asthma and the Environment,East New York,6.3
Asthma and the Environment,Sunset Park,1.7
Asthma and the Environment,Borough Park,4
Asthma and the Environment,East Flatbush - Flatbush,2
Asthma and the Environment,Canarsie - Flatlands,6
Asthma and the Environment,Bensonhurst - Bay Ridge,NA
Asthma and the Environment,Coney Island - Sheepshead Bay,5.5
Asthma and the Environment,Williamsburg - Bushwick,6.2
Asthma and the Environment,Washington Heights,3.1
Asthma and the Environment,Central Harlem - Morningside Heights,11.5
Asthma and the Environment,East Harlem,NA
Asthma and the Environment,Upper West Side,3
Asthma and the Environment,Upper East Side,2.1
Asthma and the Environment,Chelsea - Clinton,2.9
Asthma and the Environment,Gramercy Park - Murray Hill,2.1
Asthma and the Environment,Greenwich Village - SoHo,2.9
Asthma and the Environment,Union Square - Lower East Side,5.3
Asthma and the Environment,Lower Manhattan,5.3
Asthma and the Environment,Long Island City - Astoria,NA
Asthma and the Environment,West Queens,2.4
Asthma and the Environment,Flushing - Clearview,2.9
Asthma and the Environment,Bayside - Little Neck,2.1
Asthma and the Environment,Ridgewood - Forest Hills,6.4
Asthma and the Environment,Fresh Meadows,2.1
Asthma and the Environment,Southwest Queens,4.9
Asthma and the Environment,Jamaica,3.5
Asthma and the Environment,Southeast Queens,NA
Asthma and the Environment,Rockaways,NA
Asthma and the Environment,Port Richmond,3.8
Asthma and the Environment,Stapleton - St. George,3.8
Asthma and the Environment,Willowbrook,NA
Asthma and the Environment,South Beach - Tottenville,NA
Asthma and the Environment,Kingsbridge - Riverdale,8
Asthma and the Environment,Northeast Bronx,6.5
Asthma and the Environment,Fordham - Bronx Pk,7.9
Asthma and the Environment,Pelham - Throgs Neck,5
Asthma and the Environment,Crotona -Tremont,7
Asthma and the Environment,High Bridge - Morrisania,7
Asthma and the Environment,Hunts Point - Mott Haven,7
Asthma and the Environment,Greenpoint,1.7
Asthma and the Environment,Downtown - Heights - Slope,2.4
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,6
Asthma and the Environment,East New York,4.8
Asthma and the Environment,Sunset Park,1.5
Asthma and the Environment,Borough Park,3.7
Asthma and the Environment,East Flatbush - Flatbush,6.4
Asthma and the Environment,Canarsie - Flatlands,4.3
Asthma and the Environment,Bensonhurst - Bay Ridge,NA
Asthma and the Environment,Coney Island - Sheepshead Bay,2.3
Asthma and the Environment,Williamsburg - Bushwick,7
Asthma and the Environment,Washington Heights,6.2
Asthma and the Environment,Central Harlem - Morningside Heights,3.6
Asthma and the Environment,East Harlem,1.8
Asthma and the Environment,Upper West Side,1.6
Asthma and the Environment,Upper East Side,4.7
Asthma and the Environment,Chelsea - Clinton,4.3
Asthma and the Environment,Gramercy Park - Murray Hill,4.7
Asthma and the Environment,Greenwich Village - SoHo,4.3
Asthma and the Environment,Union Square - Lower East Side,5.2
Asthma and the Environment,Lower Manhattan,5.2
Asthma and the Environment,Long Island City - Astoria,NA
Asthma and the Environment,West Queens,1.9
Asthma and the Environment,Flushing - Clearview,1.8
Asthma and the Environment,Bayside - Little Neck,1.3
Asthma and the Environment,Ridgewood - Forest Hills,3.6
Asthma and the Environment,Fresh Meadows,1.3
Asthma and the Environment,Southwest Queens,1.6
Asthma and the Environment,Jamaica,2.5
Asthma and the Environment,Southeast Queens,2.9
Asthma and the Environment,Rockaways,NA
Asthma and the Environment,Port Richmond,0.4
Asthma and the Environment,Stapleton - St. George,0.4
Asthma and the Environment,Willowbrook,3
Asthma and the Environment,South Beach - Tottenville,3
Asthma and the Environment,Kingsbridge - Riverdale,NA
Asthma and the Environment,Northeast Bronx,6.8
Asthma and the Environment,Fordham - Bronx Pk,3.2
Asthma and the Environment,Pelham - Throgs Neck,3.4
Asthma and the Environment,Crotona -Tremont,6.3
Asthma and the Environment,High Bridge - Morrisania,6.3
Asthma and the Environment,Hunts Point - Mott Haven,6.3
