Asthma and the Environment,neighborhood,% reported
Asthma and the Environment,Coney Island - Sheepshead Bay,20
Asthma and the Environment,Williamsburg - Bushwick,21
Asthma and the Environment,Washington Heights,17.1
Asthma and the Environment,Central Harlem - Morningside Heights,20.2
Asthma and the Environment,East Harlem,25.5
Asthma and the Environment,Upper West Side,12.3
Asthma and the Environment,Upper East Side,11
Asthma and the Environment,Chelsea - Clinton,11.7
Asthma and the Environment,Gramercy Park - Murray Hill,12
Asthma and the Environment,Greenwich Village - SoHo,8.3
Asthma and the Environment,Union Square - Lower East Side,15.6
Asthma and the Environment,Lower Manhattan,10.9
Asthma and the Environment,Long Island City - Astoria,14.7
Asthma and the Environment,West Queens,12.7
Asthma and the Environment,Flushing - Clearview,12.8
Asthma and the Environment,Bayside - Little Neck,11.7
Asthma and the Environment,Ridgewood - Forest Hills,14.5
Asthma and the Environment,Fresh Meadows,11.7
Asthma and the Environment,Southwest Queens,18.5
Asthma and the Environment,Jamaica,19.4
Asthma and the Environment,Southeast Queens,17.3
Asthma and the Environment,Rockaways,21
Asthma and the Environment,Port Richmond,17.9
Asthma and the Environment,Stapleton - St. George,19.1
Asthma and the Environment,Willowbrook,16.8
Asthma and the Environment,South Beach - Tottenville,15.6
Asthma and the Environment,Kingsbridge - Riverdale,68.3
Asthma and the Environment,Northeast Bronx,114.5
Asthma and the Environment,Fordham - Bronx Pk,115.8
Asthma and the Environment,Pelham - Throgs Neck,114.6
Asthma and the Environment,Crotona -Tremont,159.6
Asthma and the Environment,High Bridge - Morrisania,171.2
Asthma and the Environment,Hunts Point - Mott Haven,169.4
Asthma and the Environment,Greenpoint,42.7
Asthma and the Environment,Downtown - Heights - Slope,77.1
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,155.7
Asthma and the Environment,East New York,136.8
Asthma and the Environment,Sunset Park,37.7
Asthma and the Environment,Borough Park,12.4
Asthma and the Environment,East Flatbush - Flatbush,93.5
Asthma and the Environment,Canarsie - Flatlands,79.4
Asthma and the Environment,Bensonhurst - Bay Ridge,16.9
Asthma and the Environment,Coney Island - Sheepshead Bay,33.4
Asthma and the Environment,Williamsburg - Bushwick,138.7
Asthma and the Environment,Washington Heights,110.4
Asthma and the Environment,Central Harlem - Morningside Heights,292.5
Asthma and the Environment,East Harlem,224.8
Asthma and the Environment,Upper West Side,80.5
Asthma and the Environment,Upper East Side,30
Asthma and the Environment,Chelsea - Clinton,97.8
Asthma and the Environment,Gramercy Park - Murray Hill,42.4
Asthma and the Environment,Greenwich Village - SoHo,19.9
Asthma and the Environment,Union Square - Lower East Side,85.8
Asthma and the Environment,Lower Manhattan,57.2
Asthma and the Environment,Long Island City - Astoria,47.4
Asthma and the Environment,West Queens,61.5
Asthma and the Environment,Flushing - Clearview,38.8
Asthma and the Environment,Bayside - Little Neck,23.4
Asthma and the Environment,Ridgewood - Forest Hills,40.4
Asthma and the Environment,Fresh Meadows,49.7
Asthma and the Environment,Southwest Queens,63.5
Asthma and the Environment,Jamaica,103.9
Asthma and the Environment,Southeast Queens,72.9
Asthma and the Environment,Rockaways,135.2
Asthma and the Environment,Port Richmond,92.9
Asthma and the Environment,Stapleton - St. George,73.2
Asthma and the Environment,Willowbrook,28
Asthma and the Environment,South Beach - Tottenville,23.6
Asthma and the Environment,Kingsbridge - Riverdale,66.2
Asthma and the Environment,Northeast Bronx,79.3
Asthma and the Environment,Fordham - Bronx Pk,125
Asthma and the Environment,Pelham - Throgs Neck,116
Asthma and the Environment,Crotona -Tremont,183.9
Asthma and the Environment,High Bridge - Morrisania,202
Asthma and the Environment,Hunts Point - Mott Haven,206.3
Asthma and the Environment,Greenpoint,58.6
Asthma and the Environment,Downtown - Heights - Slope,95.3
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,191.4
Asthma and the Environment,East New York,164
Asthma and the Environment,Sunset Park,59.5
Asthma and the Environment,Borough Park,22.7
Asthma and the Environment,East Flatbush - Flatbush,129.2
Asthma and the Environment,Canarsie - Flatlands,97.7
Asthma and the Environment,Bensonhurst - Bay Ridge,24.9
Asthma and the Environment,Coney Island - Sheepshead Bay,42.3
Asthma and the Environment,Williamsburg - Bushwick,185.8
Asthma and the Environment,Washington Heights,130.2
Asthma and the Environment,Central Harlem - Morningside Heights,269.9
Asthma and the Environment,East Harlem,276
Asthma and the Environment,Upper West Side,69.8
Asthma and the Environment,Upper East Side,35.4
Asthma and the Environment,Chelsea - Clinton,91.6
Asthma and the Environment,Gramercy Park - Murray Hill,70
Asthma and the Environment,Greenwich Village - SoHo,24.2
Asthma and the Environment,Union Square - Lower East Side,144
Asthma and the Environment,Lower Manhattan,56.8
Asthma and the Environment,Long Island City - Astoria,75
Asthma and the Environment,West Queens,72.4
Asthma and the Environment,Flushing - Clearview,40
Asthma and the Environment,Bayside - Little Neck,27.5
Asthma and the Environment,Ridgewood - Forest Hills,56.3
Asthma and the Environment,Fresh Meadows,60.9
Asthma and the Environment,Southwest Queens,89
Asthma and the Environment,Jamaica,144.7
Asthma and the Environment,Southeast Queens,90.2
Asthma and the Environment,Rockaways,137.4
Asthma and the Environment,Port Richmond,118.8
Asthma and the Environment,Stapleton - St. George,101.7
Asthma and the Environment,Willowbrook,47.3
Asthma and the Environment,South Beach - Tottenville,29.8
Asthma and the Environment,Kingsbridge - Riverdale,102.7
Asthma and the Environment,Northeast Bronx,184.4
Asthma and the Environment,Fordham - Bronx Pk,232.6
Asthma and the Environment,Pelham - Throgs Neck,164.3
Asthma and the Environment,Crotona -Tremont,234.9
Asthma and the Environment,High Bridge - Morrisania,248.9
Asthma and the Environment,Hunts Point - Mott Haven,237.6
Asthma and the Environment,Greenpoint,50.5
Asthma and the Environment,Downtown - Heights - Slope,87.6
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,213.9
Asthma and the Environment,East New York,182.4
Asthma and the Environment,Sunset Park,49.9
Asthma and the Environment,Borough Park,24
Asthma and the Environment,East Flatbush - Flatbush,137.4
Asthma and the Environment,Canarsie - Flatlands,98.8
Asthma and the Environment,Bensonhurst - Bay Ridge,24.2
Asthma and the Environment,Coney Island - Sheepshead Bay,42.4
Asthma and the Environment,Williamsburg - Bushwick,196.9
Asthma and the Environment,Washington Heights,126.2
Asthma and the Environment,Central Harlem - Morningside Heights,277.7
Asthma and the Environment,East Harlem,261.6
Asthma and the Environment,Upper West Side,69.6
Asthma and the Environment,Upper East Side,26.2
Asthma and the Environment,Chelsea - Clinton,75.7
Asthma and the Environment,Gramercy Park - Murray Hill,48.8
Asthma and the Environment,Greenwich Village - SoHo,18.5
Asthma and the Environment,Union Square - Lower East Side,127
Asthma and the Environment,Lower Manhattan,55.3
Asthma and the Environment,Long Island City - Astoria,59.9
Asthma and the Environment,West Queens,62
Asthma and the Environment,Flushing - Clearview,39.2
Asthma and the Environment,Bayside - Little Neck,19.5
Asthma and the Environment,Ridgewood - Forest Hills,57.6
Asthma and the Environment,Fresh Meadows,57.7
Asthma and the Environment,Southwest Queens,83.7
Asthma and the Environment,Jamaica,133.6
Asthma and the Environment,Southeast Queens,83.8
Asthma and the Environment,Rockaways,91
Asthma and the Environment,Port Richmond,109.6
Asthma and the Environment,Stapleton - St. George,94.8
Asthma and the Environment,Willowbrook,35.5
Asthma and the Environment,South Beach - Tottenville,29
Asthma and the Environment,Kingsbridge - Riverdale,79.5
Asthma and the Environment,Northeast Bronx,143
Asthma and the Environment,Fordham - Bronx Pk,187.8
Asthma and the Environment,Pelham - Throgs Neck,131.3
Asthma and the Environment,Crotona -Tremont,199.6
Asthma and the Environment,High Bridge - Morrisania,220.8
Asthma and the Environment,Hunts Point - Mott Haven,225
Asthma and the Environment,Greenpoint,36.5
Asthma and the Environment,Downtown - Heights - Slope,62.6
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,173.9
Asthma and the Environment,East New York,163.6
Asthma and the Environment,Sunset Park,47.4
Asthma and the Environment,Borough Park,22.5
Asthma and the Environment,East Flatbush - Flatbush,119.3
Asthma and the Environment,Canarsie - Flatlands,88.9
Asthma and the Environment,Bensonhurst - Bay Ridge,25.9
Asthma and the Environment,Coney Island - Sheepshead Bay,46.2
Asthma and the Environment,Williamsburg - Bushwick,145.3
Asthma and the Environment,Washington Heights,99.8
Asthma and the Environment,Central Harlem - Morningside Heights,228.6
Asthma and the Environment,East Harlem,262.3
Asthma and the Environment,Upper West Side,60.6
Asthma and the Environment,Upper East Side,24.6
Asthma and the Environment,Chelsea - Clinton,67.9
Asthma and the Environment,Gramercy Park - Murray Hill,56.6
Asthma and the Environment,Greenwich Village - SoHo,18
Asthma and the Environment,Union Square - Lower East Side,124.9
Asthma and the Environment,Lower Manhattan,47.4
Asthma and the Environment,Long Island City - Astoria,58.8
Asthma and the Environment,West Queens,80.7
Asthma and the Environment,Flushing - Clearview,39.7
Asthma and the Environment,Bayside - Little Neck,19
Asthma and the Environment,Ridgewood - Forest Hills,43.3
Asthma and the Environment,Fresh Meadows,54.8
Asthma and the Environment,Southwest Queens,61.2
Asthma and the Environment,Jamaica,105.7
Asthma and the Environment,Southeast Queens,60.1
Asthma and the Environment,Rockaways,84.8
Asthma and the Environment,Port Richmond,107.9
Asthma and the Environment,Stapleton - St. George,78.7
Asthma and the Environment,Willowbrook,30.4
Asthma and the Environment,South Beach - Tottenville,19.3
Asthma and the Environment,Kingsbridge - Riverdale,19.4
Asthma and the Environment,Northeast Bronx,28.1
Asthma and the Environment,Fordham - Bronx Pk,34.5
Asthma and the Environment,Pelham - Throgs Neck,28
Asthma and the Environment,Crotona -Tremont,36
Asthma and the Environment,High Bridge - Morrisania,35.1
Asthma and the Environment,Hunts Point - Mott Haven,35.9
Asthma and the Environment,Greenpoint,9.5
Asthma and the Environment,Downtown - Heights - Slope,16.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,37.9
Asthma and the Environment,East New York,31.4
Asthma and the Environment,Sunset Park,8.8
Asthma and the Environment,Borough Park,3.9
Asthma and the Environment,East Flatbush - Flatbush,27.6
Asthma and the Environment,Canarsie - Flatlands,17.6
Asthma and the Environment,Bensonhurst - Bay Ridge,4.3
Asthma and the Environment,Coney Island - Sheepshead Bay,7.5
Asthma and the Environment,Williamsburg - Bushwick,40.1
Asthma and the Environment,Washington Heights,12.9
Asthma and the Environment,Central Harlem - Morningside Heights,41.7
Asthma and the Environment,East Harlem,43.1
Asthma and the Environment,Upper West Side,10.6
Asthma and the Environment,Upper East Side,6.5
Asthma and the Environment,Chelsea - Clinton,19
Asthma and the Environment,Gramercy Park - Murray Hill,9.1
Asthma and the Environment,Greenwich Village - SoHo,6.3
Asthma and the Environment,Union Square - Lower East Side,16.1
Asthma and the Environment,Lower Manhattan,8.1
Asthma and the Environment,Long Island City - Astoria,10.8
Asthma and the Environment,West Queens,11.7
Asthma and the Environment,Flushing - Clearview,11.1
Asthma and the Environment,Bayside - Little Neck,7.5
Asthma and the Environment,Ridgewood - Forest Hills,17.5
Asthma and the Environment,Fresh Meadows,12.2
Asthma and the Environment,Southwest Queens,14
Asthma and the Environment,Jamaica,23.4
Asthma and the Environment,Southeast Queens,19.7
Asthma and the Environment,Rockaways,38.1
Asthma and the Environment,Port Richmond,20.4
Asthma and the Environment,Stapleton - St. George,13.1
Asthma and the Environment,Willowbrook,11.1
Asthma and the Environment,South Beach - Tottenville,5.4
Asthma and the Environment,Kingsbridge - Riverdale,22.3
Asthma and the Environment,Northeast Bronx,32.2
Asthma and the Environment,Fordham - Bronx Pk,43.6
Asthma and the Environment,Pelham - Throgs Neck,34.2
Asthma and the Environment,Crotona -Tremont,39.6
Asthma and the Environment,High Bridge - Morrisania,38.2
Asthma and the Environment,Hunts Point - Mott Haven,43.6
Asthma and the Environment,Greenpoint,10.3
Asthma and the Environment,Downtown - Heights - Slope,20.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,40.2
Asthma and the Environment,East New York,29.8
Asthma and the Environment,Sunset Park,10.8
Asthma and the Environment,Borough Park,5.1
Asthma and the Environment,East Flatbush - Flatbush,26.9
Asthma and the Environment,Canarsie - Flatlands,21.5
Asthma and the Environment,Bensonhurst - Bay Ridge,5
Asthma and the Environment,Coney Island - Sheepshead Bay,8.1
Asthma and the Environment,Williamsburg - Bushwick,41.2
Asthma and the Environment,Washington Heights,18.3
Asthma and the Environment,Central Harlem - Morningside Heights,38.1
Asthma and the Environment,East Harlem,42.3
Asthma and the Environment,Upper West Side,11.5
Asthma and the Environment,Upper East Side,9.4
Asthma and the Environment,Chelsea - Clinton,14.1
Asthma and the Environment,Gramercy Park - Murray Hill,10.6
Asthma and the Environment,Greenwich Village - SoHo,6.2
Asthma and the Environment,Union Square - Lower East Side,14.2
Asthma and the Environment,Lower Manhattan,9.5
Asthma and the Environment,Long Island City - Astoria,13.2
Asthma and the Environment,West Queens,9.2
Asthma and the Environment,Flushing - Clearview,11.2
Asthma and the Environment,Bayside - Little Neck,8.5
Asthma and the Environment,Ridgewood - Forest Hills,16
Asthma and the Environment,Fresh Meadows,13.6
Asthma and the Environment,Southwest Queens,18.6
Asthma and the Environment,Jamaica,28.3
Asthma and the Environment,Southeast Queens,26.2
Asthma and the Environment,Rockaways,23.6
Asthma and the Environment,Port Richmond,21.2
Asthma and the Environment,Stapleton - St. George,16
Asthma and the Environment,Willowbrook,10
Asthma and the Environment,South Beach - Tottenville,7.2
Asthma and the Environment,Kingsbridge - Riverdale,22.7
Asthma and the Environment,Northeast Bronx,42.4
Asthma and the Environment,Fordham - Bronx Pk,51
Asthma and the Environment,Pelham - Throgs Neck,36.5
Asthma and the Environment,Crotona -Tremont,44.8
Asthma and the Environment,High Bridge - Morrisania,48.7
Asthma and the Environment,Hunts Point - Mott Haven,57.8
Asthma and the Environment,Greenpoint,6.4
Asthma and the Environment,Downtown - Heights - Slope,17.1
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,44.8
Asthma and the Environment,East New York,36.1
Asthma and the Environment,Sunset Park,11.6
Asthma and the Environment,Borough Park,3.5
Asthma and the Environment,East Flatbush - Flatbush,36.6
Asthma and the Environment,Canarsie - Flatlands,22.5
Asthma and the Environment,Bensonhurst - Bay Ridge,4.7
Asthma and the Environment,Coney Island - Sheepshead Bay,7.3
Asthma and the Environment,Williamsburg - Bushwick,33.4
Asthma and the Environment,Washington Heights,19.1
Asthma and the Environment,Central Harlem - Morningside Heights,46.2
Asthma and the Environment,East Harlem,47.3
Asthma and the Environment,Upper West Side,9.1
Asthma and the Environment,Upper East Side,7.6
Asthma and the Environment,Chelsea - Clinton,13.3
Asthma and the Environment,Gramercy Park - Murray Hill,9
Asthma and the Environment,Greenwich Village - SoHo,5.4
Asthma and the Environment,Union Square - Lower East Side,14.1
Asthma and the Environment,Lower Manhattan,6.2
Asthma and the Environment,Long Island City - Astoria,11.2
Asthma and the Environment,West Queens,11
Asthma and the Environment,Flushing - Clearview,8.8
Asthma and the Environment,Bayside - Little Neck,8.3
Asthma and the Environment,Ridgewood - Forest Hills,14.6
Asthma and the Environment,Fresh Meadows,11.9
Asthma and the Environment,Southwest Queens,18.1
Asthma and the Environment,Jamaica,23.7
Asthma and the Environment,Southeast Queens,24.7
Asthma and the Environment,Rockaways,18
Asthma and the Environment,Port Richmond,22.3
Asthma and the Environment,Stapleton - St. George,17.3
Asthma and the Environment,Willowbrook,7.1
Asthma and the Environment,South Beach - Tottenville,6.4
Asthma and the Environment,Kingsbridge - Riverdale,15.1
Asthma and the Environment,Northeast Bronx,33.3
Asthma and the Environment,Fordham - Bronx Pk,39.1
Asthma and the Environment,Pelham - Throgs Neck,28.7
Asthma and the Environment,Crotona -Tremont,32.5
Asthma and the Environment,High Bridge - Morrisania,39.4
Asthma and the Environment,Hunts Point - Mott Haven,40.7
Asthma and the Environment,Greenpoint,4.8
Asthma and the Environment,Downtown - Heights - Slope,12.5
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,33.9
Asthma and the Environment,East New York,34.4
Asthma and the Environment,Sunset Park,6.3
Asthma and the Environment,Borough Park,3
Asthma and the Environment,East Flatbush - Flatbush,27.6
Asthma and the Environment,Canarsie - Flatlands,19.8
Asthma and the Environment,Bensonhurst - Bay Ridge,4.7
Asthma and the Environment,Coney Island - Sheepshead Bay,6.7
Asthma and the Environment,Williamsburg - Bushwick,20.5
Asthma and the Environment,Washington Heights,19.7
Asthma and the Environment,Central Harlem - Morningside Heights,39.2
Asthma and the Environment,East Harlem,36.9
Asthma and the Environment,Upper West Side,6.6
Asthma and the Environment,Upper East Side,5.6
Asthma and the Environment,Chelsea - Clinton,9.4
Asthma and the Environment,Gramercy Park - Murray Hill,9
Asthma and the Environment,Greenwich Village - SoHo,1.5
Asthma and the Environment,Union Square - Lower East Side,15.5
Asthma and the Environment,Lower Manhattan,5.8
Asthma and the Environment,Long Island City - Astoria,6.4
Asthma and the Environment,West Queens,9
Asthma and the Environment,Flushing - Clearview,8.5
Asthma and the Environment,Bayside - Little Neck,4.4
Asthma and the Environment,Ridgewood - Forest Hills,10
Asthma and the Environment,Fresh Meadows,13.8
Asthma and the Environment,Southwest Queens,11.3
Asthma and the Environment,Jamaica,18
Asthma and the Environment,Southeast Queens,16.1
Asthma and the Environment,Rockaways,11
Asthma and the Environment,Port Richmond,24.7
Asthma and the Environment,Stapleton - St. George,15
Asthma and the Environment,Willowbrook,5.6
Asthma and the Environment,South Beach - Tottenville,5.1
Asthma and the Environment,Kingsbridge - Riverdale,36.7
Asthma and the Environment,Northeast Bronx,69.4
Asthma and the Environment,Fordham - Bronx Pk,108.2
Asthma and the Environment,Pelham - Throgs Neck,79.7
Asthma and the Environment,Crotona -Tremont,192.7
Asthma and the Environment,High Bridge - Morrisania,193.7
Asthma and the Environment,Hunts Point - Mott Haven,189.1
Asthma and the Environment,Greenpoint,36.6
Asthma and the Environment,Downtown - Heights - Slope,60.9
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,114.4
Asthma and the Environment,East New York,100.1
Asthma and the Environment,Sunset Park,47.2
Asthma and the Environment,Borough Park,13
Asthma and the Environment,East Flatbush - Flatbush,56.7
Asthma and the Environment,Canarsie - Flatlands,41.8
Asthma and the Environment,Bensonhurst - Bay Ridge,14.8
Asthma and the Environment,Coney Island - Sheepshead Bay,24.1
Asthma and the Environment,Williamsburg - Bushwick,118.4
Asthma and the Environment,Washington Heights,66.4
Asthma and the Environment,Central Harlem - Morningside Heights,209.9
Asthma and the Environment,East Harlem,202.7
Asthma and the Environment,Upper West Side,32.3
Asthma and the Environment,Upper East Side,11.5
Asthma and the Environment,Chelsea - Clinton,39.1
Asthma and the Environment,Gramercy Park - Murray Hill,27.4
Asthma and the Environment,Greenwich Village - SoHo,11.6
Asthma and the Environment,Union Square - Lower East Side,46.3
Asthma and the Environment,Lower Manhattan,35
Asthma and the Environment,Long Island City - Astoria,18.2
Asthma and the Environment,West Queens,22
Asthma and the Environment,Flushing - Clearview,13.3
Asthma and the Environment,Bayside - Little Neck,8.5
Asthma and the Environment,Ridgewood - Forest Hills,19.1
Asthma and the Environment,Fresh Meadows,22.2
Asthma and the Environment,Southwest Queens,30.6
Asthma and the Environment,Jamaica,47.5
Asthma and the Environment,Southeast Queens,28.4
Asthma and the Environment,Rockaways,60
Asthma and the Environment,Port Richmond,62.6
Asthma and the Environment,Stapleton - St. George,41.6
Asthma and the Environment,Willowbrook,16.2
Asthma and the Environment,South Beach - Tottenville,16.5
Asthma and the Environment,Kingsbridge - Riverdale,25.4
Asthma and the Environment,Northeast Bronx,37.6
Asthma and the Environment,Fordham - Bronx Pk,68.7
Asthma and the Environment,Pelham - Throgs Neck,57.5
Asthma and the Environment,Crotona -Tremont,131.3
Asthma and the Environment,High Bridge - Morrisania,130.1
Asthma and the Environment,Hunts Point - Mott Haven,138.1
Asthma and the Environment,Greenpoint,28.2
Asthma and the Environment,Downtown - Heights - Slope,40.7
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,95.4
Asthma and the Environment,East New York,85
Asthma and the Environment,Sunset Park,35
Asthma and the Environment,Borough Park,13.2
Asthma and the Environment,East Flatbush - Flatbush,57.9
Asthma and the Environment,Canarsie - Flatlands,40.9
Asthma and the Environment,Bensonhurst - Bay Ridge,11.3
Asthma and the Environment,Coney Island - Sheepshead Bay,19.8
Asthma and the Environment,Williamsburg - Bushwick,106.8
Asthma and the Environment,Washington Heights,44.5
Asthma and the Environment,Central Harlem - Morningside Heights,137
Asthma and the Environment,East Harlem,147.1
Asthma and the Environment,Upper West Side,25.5
Asthma and the Environment,Upper East Side,9.4
Asthma and the Environment,Chelsea - Clinton,25.3
Asthma and the Environment,Gramercy Park - Murray Hill,20.7
Asthma and the Environment,Greenwich Village - SoHo,9.2
Asthma and the Environment,Union Square - Lower East Side,45.5
Asthma and the Environment,Lower Manhattan,25.7
Asthma and the Environment,Long Island City - Astoria,28.1
Asthma and the Environment,West Queens,15.6
Asthma and the Environment,Flushing - Clearview,9.3
Asthma and the Environment,Bayside - Little Neck,6.7
Asthma and the Environment,Ridgewood - Forest Hills,14.9
Asthma and the Environment,Fresh Meadows,17.2
Asthma and the Environment,Southwest Queens,29.8
Asthma and the Environment,Jamaica,41.6
Asthma and the Environment,Southeast Queens,27.4
Asthma and the Environment,Rockaways,47.8
Asthma and the Environment,Port Richmond,64.5
Asthma and the Environment,Stapleton - St. George,42.9
Asthma and the Environment,Willowbrook,16
Asthma and the Environment,South Beach - Tottenville,11.8
Asthma and the Environment,Kingsbridge - Riverdale,27.13185936
Asthma and the Environment,Northeast Bronx,57.70227751
Asthma and the Environment,Fordham - Bronx Pk,77.59118521
Asthma and the Environment,Pelham - Throgs Neck,58.77821891
Asthma and the Environment,Crotona -Tremont,118.077027
Asthma and the Environment,High Bridge - Morrisania,117.3822944
Asthma and the Environment,Hunts Point - Mott Haven,130.5921768
Asthma and the Environment,Greenpoint,26.90719521
Asthma and the Environment,Downtown - Heights - Slope,35.78409482
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,91.18329162
Asthma and the Environment,East New York,84.9497052
Asthma and the Environment,Sunset Park,27.98028593
Asthma and the Environment,Borough Park,11.19447017
Asthma and the Environment,East Flatbush - Flatbush,49.92977402
Asthma and the Environment,Canarsie - Flatlands,35.08046439
Asthma and the Environment,Bensonhurst - Bay Ridge,10.40504288
Asthma and the Environment,Coney Island - Sheepshead Bay,17.9417154
Asthma and the Environment,Williamsburg - Bushwick,97.15222812
Asthma and the Environment,Washington Heights,40.42294826
Asthma and the Environment,Central Harlem - Morningside Heights,116.4198649
Asthma and the Environment,East Harlem,129.6348376
Asthma and the Environment,Upper West Side,23.48917975
Asthma and the Environment,Upper East Side,7.980573045
Asthma and the Environment,Chelsea - Clinton,28.51662181
Asthma and the Environment,Gramercy Park - Murray Hill,23.95759219
Asthma and the Environment,Greenwich Village - SoHo,7.241535058
Asthma and the Environment,Union Square - Lower East Side,36.21213861
Asthma and the Environment,Lower Manhattan,24.13790062
Asthma and the Environment,Long Island City - Astoria,25.08509515
Asthma and the Environment,West Queens,13.56326935
Asthma and the Environment,Flushing - Clearview,9.559987004
Asthma and the Environment,Bayside - Little Neck,6.627942138
Asthma and the Environment,Ridgewood - Forest Hills,14.54482954
Asthma and the Environment,Fresh Meadows,16.72384887
Asthma and the Environment,Southwest Queens,23.61928208
Asthma and the Environment,Jamaica,39.60036788
Asthma and the Environment,Southeast Queens,21.88806353
Asthma and the Environment,Rockaways,42.29304726
Asthma and the Environment,Port Richmond,53.99393893
Asthma and the Environment,Stapleton - St. George,39.58801033
Asthma and the Environment,Willowbrook,15.90319849
Asthma and the Environment,South Beach - Tottenville,12.31857041
Asthma and the Environment,Kingsbridge - Riverdale,25.8
Asthma and the Environment,Northeast Bronx,48.4
Asthma and the Environment,Fordham - Bronx Pk,64.1
Asthma and the Environment,Pelham - Throgs Neck,44.6
Asthma and the Environment,Crotona -Tremont,87.1
Asthma and the Environment,High Bridge - Morrisania,98.1
Asthma and the Environment,Hunts Point - Mott Haven,104.6
Asthma and the Environment,Greenpoint,19.9
Asthma and the Environment,Downtown - Heights - Slope,24.1
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,68.1
Asthma and the Environment,East New York,71.4
Asthma and the Environment,Sunset Park,18.6
Asthma and the Environment,Borough Park,9.3
Asthma and the Environment,East Flatbush - Flatbush,41.9
Asthma and the Environment,Canarsie - Flatlands,31.4
Asthma and the Environment,Bensonhurst - Bay Ridge,8.5
Asthma and the Environment,Coney Island - Sheepshead Bay,18.2
Asthma and the Environment,Williamsburg - Bushwick,67.3
Asthma and the Environment,Washington Heights,32.9
Asthma and the Environment,Central Harlem - Morningside Heights,95.1
Asthma and the Environment,East Harlem,111.6
Asthma and the Environment,Upper West Side,23.2
Asthma and the Environment,Upper East Side,6.6
Asthma and the Environment,Chelsea - Clinton,20.4
Asthma and the Environment,Gramercy Park - Murray Hill,16.5
Asthma and the Environment,Greenwich Village - SoHo,6.5
Asthma and the Environment,Union Square - Lower East Side,31.6
Asthma and the Environment,Lower Manhattan,19.2
Asthma and the Environment,Long Island City - Astoria,21.8
Asthma and the Environment,West Queens,14.7
Asthma and the Environment,Flushing - Clearview,7.9
Asthma and the Environment,Bayside - Little Neck,4.9
Asthma and the Environment,Ridgewood - Forest Hills,12.8
Asthma and the Environment,Fresh Meadows,12.7
Asthma and the Environment,Southwest Queens,18.6
Asthma and the Environment,Jamaica,29.7
Asthma and the Environment,Southeast Queens,17.9
Asthma and the Environment,Rockaways,39
Asthma and the Environment,Port Richmond,45.6
Asthma and the Environment,Stapleton - St. George,32
Asthma and the Environment,Willowbrook,12.9
Asthma and the Environment,South Beach - Tottenville,9.2
Asthma and the Environment,Kingsbridge - Riverdale,30.1
Asthma and the Environment,Northeast Bronx,58.3
Asthma and the Environment,Fordham - Bronx Pk,84.1
Asthma and the Environment,Pelham - Throgs Neck,64.8
Asthma and the Environment,Crotona -Tremont,138.6
Asthma and the Environment,High Bridge - Morrisania,124
Asthma and the Environment,Hunts Point - Mott Haven,130.1
Asthma and the Environment,Greenpoint,27
Asthma and the Environment,Downtown - Heights - Slope,51.4
Asthma and the Environment,Bedford Stuyvesant - Crown Heights,98.5
Asthma and the Environment,East New York,86.4
Asthma and the Environment,Sunset Park,40.5
Asthma and the Environment,Borough Park,11.6
Asthma and the Environment,East Flatbush - Flatbush,49.8
Asthma and the Environment,Canarsie - Flatlands,38.3
Asthma and the Environment,Bensonhurst - Bay Ridge,12.9
Asthma and the Environment,Coney Island - Sheepshead Bay,22.6
Asthma and the Environment,Williamsburg - Bushwick,98.3
Asthma and the Environment,Washington Heights,46.8
Asthma and the Environment,Central Harlem - Morningside Heights,156.1
Asthma and the Environment,East Harlem,143.9
Asthma and the Environment,Upper West Side,24.3
Asthma and the Environment,Upper East Side,8.5
Asthma and the Environment,Chelsea - Clinton,28.6
Asthma and the Environment,Gramercy Park - Murray Hill,19.6
Asthma and the Environment,Greenwich Village - SoHo,9.1
Asthma and the Environment,Union Square - Lower East Side,35
Asthma and the Environment,Lower Manhattan,26.9
Asthma and the Environment,Long Island City - Astoria,12.5
Asthma and the Environment,West Queens,17.3
Asthma and the Environment,Flushing - Clearview,11.3
Asthma and the Environment,Bayside - Little Neck,7.5
Asthma and the Environment,Ridgewood - Forest Hills,16.2
Asthma and the Environment,Fresh Meadows,21.1
Asthma and the Environment,Southwest Queens,27
Asthma and the Environment,Jamaica,47.7
Asthma and the Environment,Southeast Queens,29.7
Asthma and the Environment,Rockaways,58.8
Asthma and the Environment,Port Richmond,57.9
Asthma and the Environment,Stapleton - St. George,39.8
Asthma and the Environment,Willowbrook,16.2
Asthma and the Environment,South Beach - Tottenville,16.3
Asthma and the Environment,Kingsbridge - Riverdale,26.5
Asthma and the Environment,Northeast Bronx,42.2
Asthma and the Environment,Fordham - Bronx Pk,73.6
